date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:33	16486/16486	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fc0-4066%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/eg.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/eg.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:33	1130/1130	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378f8e-46a%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/eh.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/eh.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:33	1077/1077	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378faa-435%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/eh.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/eh.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:33	4842/4842	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa7-12ea%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/er.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/er.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:34	4895/4895	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fc1-131f%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/er.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/er.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:34	146025/146025	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa8-23a69%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/es.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/es.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:35	147958/147958	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fc2-241f6%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/es.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/es.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:35	1622/1622	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa3-656%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/et.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/et.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:35	1643/1643	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fbe-66b%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/et.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/1x1/et.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
10:49:35	936/936	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2260378fa7-3a8%22	https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fi.svg	C:/Users/MSI/Desktop/Projet/Projet_mariem/Template/www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/flag-icons/flags/4x3/fi.svg	(from https://www.pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/app-assets/vendors/css/vendors.min.css)
